Fecha,Precio marginal local ($/MWh)
2017-05-27,1471.7056521739132
2017-05-28,1136.24875
2017-05-29,1358.1175
2017-05-30,2003.0779166666669
2017-05-31,1714.2595833333335
2017-06-01,1210.7854166666666
2017-06-02,1337.99
2017-06-03,1241.25125
2017-06-04,989.2016666666667
2017-06-05,1208.6670833333335
2017-06-06,3224.2616666666668
2017-06-07,2790.3525000000004
2017-06-08,2537.6349999999998
2017-06-09,1882.0737499999998
2017-06-10,1564.42375
2017-06-11,926.2329166666667
2017-06-12,1437.0154166666669
2017-06-13,1445.8329166666665
2017-06-14,1461.68
2017-06-15,2647.1716666666666
2017-06-16,3732.3658333333333
2017-06-17,3762.6829166666666
2017-06-18,2227.59
2017-06-19,1877.3166666666666
2017-06-20,3550.2208333333333
2017-06-21,2161.0441666666666
2017-06-22,3493.602083333333
2017-06-23,3000.8008333333332
2017-06-24,1810.9379166666668
2017-06-25,1003.9708333333333
2017-06-26,1075.2175
2017-06-27,1203.19625
2017-06-28,1375.9470833333335
2017-06-29,2081.4416666666666
2017-06-30,1405.7495833333332
2017-07-01,1071.2079166666667
2017-07-02,841.3825
2017-07-03,926.1941666666667
2017-07-04,1038.7658333333334
2017-07-05,1480.2754166666666
2017-07-06,1559.6195833333334
2017-07-07,1350.37875
2017-07-08,1295.635
2017-07-09,694.0345833333334
2017-07-10,1263.3604166666667
2017-07-11,1012.1616666666667
2017-07-12,930.69625
2017-07-13,1035.7791666666667
2017-07-14,1047.5670833333334
2017-07-15,932.9908333333333
2017-07-16,778.2058333333333
2017-07-17,1133.6670833333335
2017-07-18,1208.78
2017-07-19,1081.7124999999999
2017-07-20,1065.4629166666666
2017-07-21,891.2866666666667
2017-07-22,957.9408333333334
2017-07-23,831.5183333333333
2017-07-24,1090.9183333333333
2017-07-25,1139.1941666666667
2017-07-26,1189.3316666666667
2017-07-27,1032.9312499999999
2017-07-28,906.9670833333333
2017-07-29,888.8604166666668
2017-07-30,704.6016666666666
2017-07-31,1156.175
2017-08-01,1210.4891666666665
2017-08-02,1300.7133333333334
2017-08-03,1342.3241666666665
2017-08-04,1394.58625
2017-08-05,1295.2204166666668
2017-08-06,1029.82
2017-08-07,1289.6825000000001
2017-08-08,1477.095
2017-08-09,1568.8525
2017-08-10,1890.5266666666666
2017-08-11,1400.2612499999998
2017-08-12,1113.2966666666666
2017-08-13,820.6774999999999
2017-08-14,1355.66625
2017-08-15,1884.6733333333334
2017-08-16,1761.5579166666666
2017-08-17,1353.0449999999998
2017-08-18,1331.9204166666666
2017-08-19,1185.2425
2017-08-20,820.5179166666667
2017-08-21,1244.3575
2017-08-22,1365.6404166666669
2017-08-23,1771.1366666666665
2017-08-24,1646.7091666666665
2017-08-25,1054.2929166666665
2017-08-26,1335.32375
2017-08-27,920.13
2017-08-28,1919.25875
2017-08-29,1935.8004166666667
2017-08-30,2341.849166666667
2017-08-31,1803.6895833333335
2017-09-01,1490.7691666666667
2017-09-02,1056.3154166666666
2017-09-03,666.4770833333333
2017-09-04,1039.1329166666667
2017-09-05,794.8887500000001
2017-09-06,710.53875
2017-09-07,626.2833333333334
2017-09-08,671.8275
2017-09-09,672.23625
2017-09-10,610.62375
2017-09-11,670.4920833333333
2017-09-12,988.27
2017-09-13,1057.4033333333334
2017-09-14,994.6766666666667
2017-09-15,988.1754166666666
2017-09-16,718.3262500000001
2017-09-17,813.0995833333333
2017-09-18,1096.3166666666666
2017-09-19,1112.0079166666667
2017-09-20,1178.9441666666667
2017-09-21,1335.64375
2017-09-22,1127.1129166666667
2017-09-23,779.9708333333333
2017-09-24,695.3579166666667
2017-09-25,1041.9316666666666
2017-09-26,1029.61
2017-09-27,821.8591666666666
2017-09-28,1083.7116666666666
2017-09-29,854.7754166666667
2017-09-30,755.35125
2017-10-01,726.2804166666666
2017-10-02,1037.205
2017-10-03,850.1179166666667
2017-10-04,1103.8041666666666
2017-10-05,1095.2041666666667
2017-10-06,1170.4566666666667
2017-10-07,979.8058333333333
2017-10-08,719.8433333333332
2017-10-09,1145.1195833333334
2017-10-10,1412.37625
2017-10-11,1217.0758333333333
2017-10-12,1203.59625
2017-10-13,1216.6070833333333
2017-10-14,1104.6091666666666
2017-10-15,716.40625
2017-10-16,923.3004166666666
2017-10-17,1038.8641666666665
2017-10-18,857.4208333333332
2017-10-19,959.9195833333333
2017-10-20,1027.7858333333334
2017-10-21,849.6062499999999
2017-10-22,685.1733333333333
2017-10-23,1131.1170833333333
2017-10-24,858.29625
2017-10-25,1188.5354166666666
2017-10-26,940.2729166666667
2017-10-27,934.48
2017-10-28,980.9229166666668
2017-10-29,666.8766666666667
2017-10-30,966.0183999999999
2017-10-31,1065.2012499999998
2017-11-01,1161.1854166666667
2017-11-02,850.6433333333333
2017-11-03,1284.27
2017-11-04,970.765
2017-11-05,737.72625
2017-11-06,1284.3654166666668
2017-11-07,1910.7858333333334
2017-11-08,1956.9166666666667
2017-11-09,1166.0441666666668
2017-11-10,1143.7191666666665
2017-11-11,867.9266666666667
2017-11-12,600.1991666666667
2017-11-13,1005.2358333333333
2017-11-14,1159.8475
2017-11-15,1105.3608333333334
2017-11-16,1409.6216666666667
2017-11-17,1538.8258333333333
2017-11-18,1151.1358333333335
2017-11-19,635.4425
2017-11-20,616.8116666666666
2017-11-21,1153.5829166666667
2017-11-22,770.91
2017-11-23,942.2416666666667
2017-11-24,1374.4904166666665
2017-11-25,1189.5970833333333
2017-11-26,752.5133333333333
2017-11-27,1001.0749999999999
2017-11-28,1022.7258333333333
2017-11-29,1283.03125
