Fecha, Energia (MWh) 
2017-01-01,1229.29922
2017-01-02,1561.1977041666667
2017-01-03,1732.8353320833332
2017-01-04,1751.5259729166667
2017-01-05,1782.3259879166665
2017-01-06,1767.9607504166668
2017-01-07,1714.4765054166667
2017-01-08,1571.9660820833333
2017-01-09,1761.1247775000002
2017-01-10,1841.4206195833333
2017-01-11,1899.3228312499998
2017-01-12,1892.3713799999998
2017-01-13,1897.0765120833332
2017-01-14,1761.1706291666667
2017-01-15,1581.8393620833333
2017-01-16,1797.3582641666665
2017-01-17,1877.8907275000001
2017-01-18,1879.02765875
2017-01-19,1870.7991404166667
2017-01-20,1861.4812249999998
2017-01-21,1747.1155804166665
2017-01-22,1580.2026345833335
2017-01-23,1769.86522875
2017-01-24,1836.0967899999998
2017-01-25,1868.1532516666666
2017-01-26,1883.807145
2017-01-27,1901.025775
2017-01-28,1735.7560104166666
2017-01-29,1566.7033566666667
2017-01-30,1751.3015204166668
2017-01-31,1837.6865054166667
2017-02-01,1829.2409341666669
2017-02-02,1807.83953
2017-02-03,1867.8430687500002
2017-02-04,1761.5954791666666
2017-02-05,1565.59051875
2017-02-06,1555.9041983333334
2017-02-07,1773.1027533333333
2017-02-08,1880.1515675
2017-02-09,1865.0704470833334
2017-02-10,1860.7071441666667
2017-02-11,1804.228445
2017-02-12,1619.6838979166666
2017-02-13,1863.1462741666667
2017-02-14,1936.7759587500002
2017-02-15,1934.7735841666665
2017-02-16,1951.7631145833332
2017-02-17,1883.1437529166667
2017-02-18,1812.15382625
2017-02-19,1623.6731541666668
2017-02-20,1814.7882329166666
2017-02-21,1910.5444925000002
2017-02-22,1926.8712554166666
2017-02-23,1907.7899183333332
2017-02-24,1850.3444966666666
2017-02-25,1736.6969595833334
2017-02-26,1565.7713170833333
2017-02-27,1830.2632416666665
2017-02-28,1929.0186120833332
2017-03-01,1927.7013558333335
2017-03-02,1908.5007941666665
2017-03-03,1894.7089750000002
2017-03-04,1774.6215583333333
2017-03-05,1580.7547379166665
2017-03-06,1587.6126862499998
2017-03-07,1917.0256904166665
2017-03-08,1921.8881025
2017-03-09,1932.192105
2017-03-10,1916.48169375
2017-03-11,1811.11445625
2017-03-12,1587.4043233333332
2017-03-13,1792.3713016666668
2017-03-14,1877.5461070833335
2017-03-15,1886.6075095833332
2017-03-16,1863.7625170833333
2017-03-17,1843.7629737500001
2017-03-18,1720.11886875
2017-03-19,1521.85694875
2017-03-20,1524.5058291666667
2017-03-21,1779.8735291666665
2017-03-22,1889.0046658333333
2017-03-23,1886.6365158333335
2017-03-24,1880.2864804166666
2017-03-25,1780.0475495833334
2017-03-26,1589.4370595833334
2017-03-27,1843.93374625
2017-03-28,1896.2928412499998
2017-03-29,1890.7262808333335
2017-03-30,1882.9688187499999
2017-03-31,1879.7355879166669
2017-04-01,1763.80525875
2017-04-02,1592.7461504166668
2017-04-03,1805.7913554166669
2017-04-04,1888.7663191666668
2017-04-05,1907.9931279166667
2017-04-06,1926.3955920833332
2017-04-07,1871.6366691666665
2017-04-08,1745.8962745833333
2017-04-09,1569.7346316666665
2017-04-10,1750.60694875
2017-04-11,1793.1803633333332
2017-04-12,1731.24048125
2017-04-13,1564.4074654166668
2017-04-14,1359.3685645833334
2017-04-15,1364.6326420833334
2017-04-16,1391.32729125
2017-04-17,1727.2147475
2017-04-18,1855.6053279166665
2017-04-19,1826.7478416666665
2017-04-20,1838.726425
2017-04-21,1835.48666125
2017-04-22,1750.0812733333332
2017-04-23,1565.9344620833333
2017-04-24,1769.7891791666668
2017-04-25,1839.6218320833334
2017-04-26,1856.25635125
2017-04-27,1856.2783491666667
2017-04-28,1841.6103116666666
2017-04-29,1720.9040133333335
2017-04-30,1552.7499179166668
2017-05-01,1481.92915
2017-05-02,1744.1045162500002
2017-05-03,1837.8231866666665
2017-05-04,1844.5192804166666
2017-05-05,1817.5647258333331
2017-05-06,1714.2835766666667
2017-05-07,1582.37753625
2017-05-08,1793.0808995833333
2017-05-09,1828.5368979166667
2017-05-10,1725.5788633333332
2017-05-11,1848.7625908333332
2017-05-12,1873.49732875
2017-05-13,1742.9193729166666
2017-05-14,1585.3949620833334
2017-05-15,1800.7352950000002
2017-05-16,1887.3629404166668
2017-05-17,1928.6881525
2017-05-18,1939.045425
2017-05-19,1901.36327
2017-05-20,1788.5463495833335
2017-05-21,1627.2158379166667
2017-05-22,1854.5881591666666
2017-05-23,2007.0554829166667
2017-05-24,2054.320814166667
2017-05-25,1949.5105579166666
2017-05-26,2082.5866054166668
2017-05-27,1973.67680125
2017-05-28,1781.4430529166666
2017-05-29,2020.8119833333333
2017-05-30,2074.277465
2017-05-31,2089.663035833333
2017-06-01,2064.2972166666664
2017-06-02,2050.738512916667
2017-06-03,1957.0787275
2017-06-04,1770.2020425
2017-06-05,2022.8268716666669
2017-06-06,2070.04867375
2017-06-07,2062.6153291666665
2017-06-08,2061.52236125
2017-06-09,2043.1518404166666
2017-06-10,1901.8991783333333
2017-06-11,1764.1876275000002
2017-06-12,1979.1946695833333
2017-06-13,2066.132633333333
2017-06-14,2080.9999745833334
2017-06-15,2082.32691875
2017-06-16,2081.9742808333335
2017-06-17,1965.5814524999998
2017-06-18,1762.3231091666667
2017-06-19,1968.1692408333336
2017-06-20,2047.9036216666666
2017-06-21,2069.7887054166667
2017-06-22,2089.65844625
2017-06-23,2047.6969570833335
2017-06-24,1924.9382304166666
2017-06-25,1728.4504779166666
2017-06-26,1974.1923525
2017-06-27,2028.8690770833334
2017-06-28,2029.0372399999999
2017-06-29,2026.4137762500002
2017-06-30,1996.4410941666665
2017-07-01,1882.7390541666666
2017-07-02,1750.3285204166666
2017-07-03,1985.0193208333333
2017-07-04,2035.9255833333334
2017-07-05,2054.3897925
2017-07-06,2055.5551508333333
2017-07-07,2017.63563625
2017-07-08,1901.1792525
2017-07-09,1725.6830837500002
2017-07-10,1942.6850525
2017-07-11,2002.7679545833334
2017-07-12,2019.6412954166665
