Fecha, Energia (MWh) 
2017-01-01,1254.2367608333332
2017-01-02,1552.3324441666666
2017-01-03,1711.1434
2017-01-04,1747.2351537499999
2017-01-05,1752.8215549999998
2017-01-06,1748.0787783333333
2017-01-07,1629.3310175
2017-01-08,1518.0621370833333
2017-01-09,1728.89916875
2017-01-10,1795.5003245833334
2017-01-11,1809.4954895833334
2017-01-12,1813.3522766666667
2017-01-13,1806.5301279166667
2017-01-14,1668.337948333333
2017-01-15,1524.1656583333333
2017-01-16,1722.4769704166667
2017-01-17,1781.2788104166666
2017-01-18,1788.75411375
2017-01-19,1791.0915937500001
2017-01-20,1766.45804125
2017-01-21,1633.0973308333332
2017-01-22,1515.4649429166666
2017-01-23,1741.5324625
2017-01-24,1786.21042875
2017-01-25,1803.7993670833332
2017-01-26,1816.9593604166666
2017-01-27,1812.1102208333332
2017-01-28,1675.3993012500002
2017-01-29,1556.6652441666665
2017-01-30,1761.242715
2017-01-31,1804.0985629166669
2017-02-01,1801.0486174999999
2017-02-02,1781.626067916667
2017-02-03,1793.5276004166665
2017-02-04,1658.5161304166668
2017-02-05,1503.3597200000002
2017-02-06,1562.5810775
2017-02-07,1778.6575687499999
2017-02-08,1835.6280408333332
2017-02-09,1847.2528591666667
2017-02-10,1818.4749279166665
2017-02-11,1717.5958095833332
2017-02-12,1574.51114875
2017-02-13,1780.6210720833333
2017-02-14,1827.6031566666668
2017-02-15,1834.1585083333332
2017-02-16,1842.1996570833335
2017-02-17,1781.62847375
2017-02-18,1695.8726420833334
2017-02-19,1551.8436954166666
2017-02-20,1756.8803908333332
2017-02-21,1801.74369
2017-02-22,1809.9587099999999
2017-02-23,1790.7349020833333
2017-02-24,1801.6921837500001
2017-02-25,1687.5184829166667
2017-02-26,1537.3399966666666
2017-02-27,1770.082365
2017-02-28,1810.2603529166665
2017-03-01,1797.2157446840956
2017-03-02,1795.3127342347495
2017-03-03,1775.3051871541393
2017-03-04,1677.5148403131807
2017-03-05,1541.100447807734
2017-03-06,1541.2307878921567
2017-03-07,1796.233769948257
2017-03-08,1803.4877771977124
2017-03-09,1782.8478899891068
2017-03-10,1744.2025295969497
2017-03-11,1632.5751199727667
2017-03-12,1513.0954894035947
2017-03-13,1708.0529969526142
2017-03-14,1752.762723839869
2017-03-15,1770.0023570969497
2017-03-16,1773.3742196840958
2017-03-17,1779.437153872549
2017-03-18,1647.4183132625274
2017-03-19,1489.0448311955336
2017-03-20,1518.1803129248365
2017-03-21,1698.0224504439
2017-03-22,1750.6284519035946
2017-03-23,1757.501388943355
2017-03-24,1739.6374700190634
2017-03-25,1622.9417667456426
2017-03-26,1493.698030514706
2017-03-27,1677.2984941176471
2017-03-28,1720.5232451198256
2017-03-29,1721.895238951525
2017-03-30,1738.3040501879084
2017-03-31,1749.240363785403
2017-04-01,1635.5840158088233
2017-04-02,1501.6666666666667
2017-04-03,1729.5393490250544
2017-04-04,1773.7893501851852
2017-04-05,1786.7360923665576
2017-04-06,1822.4579079793027
2017-04-07,1823.5547114733115
2017-04-08,1706.858178515795
2017-04-09,1542.0078338425926
2017-04-10,1704.9991216584967
2017-04-11,1738.0590560648145
2017-04-12,1704.8270379493463
2017-04-13,1526.1301657325705
2017-04-14,1334.0106159504355
2017-04-15,1377.4735238126361
2017-04-16,1413.8912998583876
2017-04-17,1710.116228706427
2017-04-18,1780.5143481998912
2017-04-19,1765.560629379085
2017-04-20,1767.0488663071894
2017-04-21,1776.4081475844225
2017-04-22,1665.2142362091502
2017-04-23,1547.8437911192807
2017-04-24,1747.3129677423747
2017-04-25,1789.59429709695
2017-04-26,1795.710121154684
2017-04-27,1806.4587628540305
2017-04-28,1819.648886484205
2017-04-29,1686.2472075027233
2017-04-30,1515.2229844281046
2017-05-01,1520.6711546377994
2017-05-02,1752.8955817075164
2017-05-03,1807.9423808333333
2017-05-04,1820.9310882598038
2017-05-05,1787.3839072004357
2017-05-06,1690.30134874183
2017-05-07,1553.5395905991284
2017-05-08,1773.7698838671024
2017-05-09,1822.8403637309368
2017-05-10,1720.1269379166667
2017-05-11,1832.7894966666665
2017-05-12,1837.7804175
2017-05-13,1716.7434958333333
2017-05-14,1577.0083591666669
2017-05-15,1811.26426375
2017-05-16,1898.5176504166666
2017-05-17,1904.4037604166667
2017-05-18,1912.6565108333334
2017-05-19,1880.06965625
2017-05-20,1773.8479341666668
2017-05-21,1592.3849979166669
2017-05-22,1838.1211291666668
2017-05-23,1886.8962037499998
2017-05-24,1901.8430570833334
2017-05-25,1867.982405
2017-05-26,1481.6483558333332
2017-05-27,1380.8746425
2017-05-28,1267.48862375
2017-05-29,1436.716345
2017-05-30,1470.0435875
2017-05-31,1471.2214891666665
2017-06-01,1472.7662958333333
2017-06-02,1468.3026920833333
2017-06-03,1361.8234508333333
2017-06-04,1217.4900237499999
2017-06-05,1442.4535841666666
2017-06-06,1479.0055529166666
2017-06-07,1479.3663620833333
2017-06-08,1473.3538066666667
2017-06-09,1455.80145625
2017-06-10,1346.6803950599128
2017-06-11,1311.8141822603486
2017-06-12,1462.7209967265796
2017-06-13,1478.691849607843
2017-06-14,1483.1958241666669
2017-06-15,1472.7315712500001
2017-06-16,1457.8092104166665
2017-06-17,1342.28271875
2017-06-18,1219.5594375
2017-06-19,1418.99536125
2017-06-20,1461.5743158333335
2017-06-21,1455.8258958333333
2017-06-22,1476.4552870833334
2017-06-23,1468.39411
2017-06-24,1357.3319441666665
2017-06-25,1254.2039654166667
2017-06-26,1470.0374095833333
2017-06-27,1493.18306125
2017-06-28,1498.2030574999999
2017-06-29,1488.3569795833334
2017-06-30,1460.2123325
2017-07-01,1344.66560125
2017-07-02,1254.5651708333332
2017-07-03,1453.6629845833334
2017-07-04,1496.23864875
2017-07-05,1485.9049141666667
2017-07-06,1472.9117670833332
2017-07-07,1463.0609829166667
2017-07-08,1366.6956658333331
2017-07-09,1298.1481558333332
2017-07-10,1445.61870625
2017-07-11,1486.73445375
2017-07-12,1483.089695
2017-07-13,1491.5366758333332
2017-07-14,1465.71224875
2017-07-15,1377.0509129166667
2017-07-16,1278.9166541666666
2017-07-17,1413.6838008333334
2017-07-18,1485.65536875
2017-07-19,1460.2571308333333
2017-07-20,1457.4298
2017-07-21,1481.3797841666667
2017-07-22,1347.4723558333333
2017-07-23,1274.6596375
2017-07-24,1441.4460283333335
2017-07-25,1454.6694
2017-07-26,1469.7997304166665
2017-07-27,1487.2125595833334
2017-07-28,1446.7950945833334
2017-07-29,1348.3928275
2017-07-30,1278.99659125
2017-07-31,1445.2246604166667
2017-08-01,1449.8606304166667
2017-08-02,1475.9598425000001
2017-08-03,1484.6125462500002
2017-08-04,1463.7139483333333
2017-08-05,1358.0580408333333
2017-08-06,1224.0382033333333
2017-08-07,1442.7327625
2017-08-08,1485.67603625
2017-08-09,1487.18887
2017-08-10,1492.7760858333334
2017-08-11,1460.0236041666667
2017-08-12,1359.8085266666667
2017-08-13,1253.6878812500001
2017-08-14,1445.67119625
2017-08-15,1489.9000408333334
2017-08-16,1493.5726779166669
2017-08-17,1503.00846625
2017-08-18,1494.3562066666666
2017-08-19,1641.3184204166666
2017-08-20,1304.3141425000001
2017-08-21,1477.6179504166666
2017-08-22,1508.1544220833332
2017-08-23,1509.878535
2017-08-24,1502.5068266666667
2017-08-25,1497.72752625
2017-08-26,1391.4556670833333
2017-08-27,1284.0966545833332
2017-08-28,1486.0012116666667
2017-08-29,1511.45540875
2017-08-30,1520.8696916666668
2017-08-31,1512.9493954166667
2017-09-01,1502.9887558333332
2017-09-02,1418.8353395833335
2017-09-03,1317.9259716666668
2017-09-04,1468.0337033333333
2017-09-05,1518.7843404166667
2017-09-06,1541.3848175
2017-09-07,1534.4139312500001
2017-09-08,1483.7297720833333
2017-09-09,1444.5673233333334
2017-09-10,1347.3816924999999
2017-09-11,1455.4320316666665
2017-09-12,1500.8108216666667
2017-09-13,1501.5590904166665
2017-09-14,1498.5617116666665
2017-09-15,1354.4430691666666
2017-09-16,1165.71777625
2017-09-17,1219.82042125
2017-09-18,1458.5741679166667
2017-09-19,1130.22997125
2017-09-20,1281.5706029166665
2017-09-21,1396.4435395833334
2017-09-22,1418.5032441666665
2017-09-23,1314.3170895833334
2017-09-24,1298.3306954166667
2017-09-25,1434.5472133333333
2017-09-26,1453.8854833333335
2017-09-27,1513.7001845833336
2017-09-28,1480.4634875
2017-09-29,1481.8770104166667
2017-09-30,1366.2333766666668
2017-10-01,1287.9095929166667
2017-10-02,1434.4387625
2017-10-03,1457.9152462499999
2017-10-04,1495.9808995833334
2017-10-05,1480.4358775
2017-10-06,1442.9066770833333
2017-10-07,1329.3606329166666
2017-10-08,1246.2102233333333
2017-10-09,1440.6505137499998
2017-10-10,1453.4832529166667
2017-10-11,1442.2932529166667
2017-10-12,1457.9726358333335
2017-10-13,1414.779925
2017-10-14,1328.9540325
2017-10-15,1264.9322370833333
2017-10-16,1458.9125870833334
2017-10-17,1464.4246504166667
2017-10-18,1480.16588375
2017-10-19,1471.2847250000002
2017-10-20,1461.6923945833332
2017-10-21,1343.4587804166665
2017-10-22,1280.1745170833333
2017-10-23,1429.4505383333333
2017-10-24,1450.4130283333334
2017-10-25,1363.2491216666667
2017-10-26,1388.80568875
2017-10-27,1387.57608
2017-10-28,1268.2406254166667
2017-10-29,1317.6170590654167
2017-10-30,1397.0073541666668
2017-10-31,1391.6432187500002
2017-11-01,1325.18757
2017-11-01,1444.1190916666667
2017-11-02,1303.9888895833333
2017-11-03,1403.6109995833333
2017-11-04,1335.2540895833333
2017-11-05,1272.3477258333335
2017-11-06,1436.7536491666667
2017-11-07,1456.82058875
2017-11-08,1481.3467770833333
2017-11-09,1482.5370575
2017-11-10,1471.7893649999999
2017-11-11,1376.2447279166665
2017-11-12,1321.7425379166666
2017-11-13,1441.6593108333334
2017-11-14,1480.62331625
2017-11-15,1466.9166158333335
