Fecha, Energia (MWh) 
2017-01-01,915.4124733333333
2017-01-02,1137.3161070833332
2017-01-03,1188.1074291666666
2017-01-04,1202.0854691666666
2017-01-05,1206.5585508333334
2017-01-06,1203.9737425
2017-01-07,1108.5363516666666
2017-01-08,1012.3493533333334
2017-01-09,1195.27526625
2017-01-10,1233.86408125
2017-01-11,1261.4848445833334
2017-01-12,1264.0328016666667
2017-01-13,1254.0831925
2017-01-14,1147.9237029166668
2017-01-15,1058.5688554166666
2017-01-16,1242.9907779166667
2017-01-17,1265.0922225
2017-01-18,1274.3394345833333
2017-01-19,1265.3065529166668
2017-01-20,1253.5119508333335
2017-01-21,1128.1429245833333
2017-01-22,1045.0684691666668
2017-01-23,1232.1014504166667
2017-01-24,1258.1186183333332
2017-01-25,1265.1599141666668
2017-01-26,1267.5565366666667
2017-01-27,1264.68795875
2017-01-28,1134.89479125
2017-01-29,1049.5794241666667
2017-01-30,1243.2558045833332
2017-01-31,1276.8951945833335
2017-02-01,1278.7328195833334
2017-02-02,1273.4798787500001
2017-02-03,1253.3829204166666
2017-02-04,1128.7144945833334
2017-02-05,1042.89023875
2017-02-06,1059.5493345833333
2017-02-07,1216.8177866666667
2017-02-08,1240.1314333333332
2017-02-09,1245.3232366666666
2017-02-10,1235.0070308333334
2017-02-11,1116.1211108333334
2017-02-12,1035.2196575
2017-02-13,1224.46379375
2017-02-14,1268.6590808333333
2017-02-15,1275.7729525
2017-02-16,1276.82682875
2017-02-17,1261.7938537500002
2017-02-18,1134.67271
2017-02-19,1054.1127770833334
2017-02-20,1244.8049437500001
2017-02-21,1269.4387508333332
2017-02-22,1285.4346633333332
2017-02-23,1287.1856320833333
2017-02-24,1276.6312991666666
2017-02-25,1138.9723958333334
2017-02-26,1050.0882941666666
2017-02-27,1266.9824220833334
2017-02-28,1298.7825258333335
2017-03-01,1310.3417768939394
2017-03-02,1303.853878560606
2017-03-03,1274.4212262878789
2017-03-04,1133.355345340909
2017-03-05,1039.2397873863636
2017-03-06,1039.9953443181819
2017-03-07,1289.5515411742424
2017-03-08,1290.6887909090908
2017-03-09,1275.3789374242424
2017-03-10,1264.9476373484847
2017-03-11,1136.5530392424241
2017-03-12,1058.6536166666667
2017-03-13,1241.3978684848485
2017-03-14,1268.9730402272726
2017-03-15,1266.3967066287878
2017-03-16,1263.6755248484849
2017-03-17,1259.4455816666666
2017-03-18,1120.4278719318181
2017-03-19,1020.1773839015151
2017-03-20,1065.3490529166668
2017-03-21,1243.9397500378789
2017-03-22,1276.4958984848483
2017-03-23,1277.4060359090909
2017-03-24,1283.1869606060607
2017-03-25,1160.5070151515151
2017-03-26,1065.5369890530303
2017-03-27,1271.1980771969695
2017-03-28,1302.479242272727
2017-03-29,1310.4508442424242
2017-03-30,1302.6538254166667
2017-03-31,1295.0484393939394
2017-04-01,1163.4937990151514
2017-04-02,1076.1896979166665
2017-04-03,1277.6464225378788
2017-04-04,1309.5828825
2017-04-05,1320.337286022727
2017-04-06,1327.0481186742425
2017-04-07,1302.6090940151514
2017-04-08,1175.1685176136364
2017-04-09,1069.6525687878786
2017-04-10,1262.7992432575757
2017-04-11,1271.116696969697
2017-04-12,1224.7742301893938
2017-04-13,1082.6882602651515
2017-04-14,988.3369849999999
2017-04-15,1014.3891529924241
2017-04-16,994.9115928030302
2017-04-17,1215.99289530303
2017-04-18,1252.5863812121213
2017-04-19,1251.9566168181818
2017-04-20,1261.591590871212
2017-04-21,1263.4770116666666
2017-04-22,1144.7937839772728
2017-04-23,1052.9163066287879
2017-04-24,1276.6857411363635
2017-04-25,1309.7092681439394
2017-04-26,1323.1328907575758
2017-04-27,1327.7135369318182
2017-04-28,1379.2855232575757
2017-04-29,1182.2260675757575
2017-04-30,1073.2249204545453
2017-05-01,1101.4179653787878
2017-05-02,1306.1529039772727
2017-05-03,1328.6217224242425
2017-05-04,1318.184942651515
2017-05-05,1277.0123313257575
2017-05-06,1165.8380049621212
2017-05-07,1080.9947463636363
2017-05-08,1299.733426401515
2017-05-09,1318.3021685227272
2017-05-10,1257.5008270833334
2017-05-11,1331.2816491666667
2017-05-12,1311.7047375
2017-05-13,1168.57243625
2017-05-14,1071.5727841666667
2017-05-15,1298.5256533333334
2017-05-16,1338.4850554166667
2017-05-17,1366.2194116666667
2017-05-18,1374.5305654166666
2017-05-19,1355.58818
2017-05-20,1259.3100016666667
2017-05-21,1106.535665
2017-05-22,1338.03063625
2017-05-23,1363.49026125
2017-05-24,1378.5117516666667
2017-05-25,1353.673935
2017-05-26,1318.6118045833334
2017-05-27,1187.5512033333332
2017-05-28,1094.4569929166666
2017-05-29,1315.88595
2017-05-30,1319.8217791666666
2017-05-31,1307.4161170833333
2017-06-01,1308.78081
2017-06-02,1299.7619908333334
2017-06-03,1174.9286879166666
2017-06-04,1081.4291383333332
2017-06-05,1315.7248820833333
2017-06-06,1331.0565591666666
2017-06-07,1327.11427125
2017-06-08,1329.6879545833333
2017-06-09,1324.4056
2017-06-10,1178.3172581439394
2017-06-11,1073.2164561363636
2017-06-12,1289.3144312499999
2017-06-13,1310.9354927651514
2017-06-14,1303.8791483333332
2017-06-15,1288.6529920833334
2017-06-16,1296.7529308333333
2017-06-17,1166.8881154166668
2017-06-18,1060.9365025
2017-06-19,1287.4045841666666
2017-06-20,1314.7303958333334
2017-06-21,1309.86848375
2017-06-22,1323.4438620833332
2017-06-23,1315.35680125
2017-06-24,1187.5991516666666
2017-06-25,1064.7805158333333
2017-06-26,1262.2726308333333
2017-06-27,1293.2511425
2017-06-28,1296.29207375
2017-06-29,1292.2813879166667
2017-06-30,1266.5767783333333
2017-07-01,1139.2830616666668
2017-07-02,1040.5039554166667
2017-07-03,1248.9149954166667
2017-07-04,1271.4893291666667
2017-07-05,1269.9096716666666
2017-07-06,1262.0509079166666
2017-07-07,1253.3216920833333
2017-07-08,1136.3151904166666
2017-07-09,1038.3639679166665
2017-07-10,1242.2114158333334
2017-07-11,1271.6030966666667
2017-07-12,1274.94058125
2017-07-13,1279.1871954166666
2017-07-14,1263.4461208333335
2017-07-15,1139.2834858333333
2017-07-16,1040.1080666666667
2017-07-17,1238.7943045833333
2017-07-18,1269.7307879166667
2017-07-19,1270.3937079166667
2017-07-20,1262.5284320833332
2017-07-21,1265.63289375
2017-07-22,1148.7570879166667
2017-07-23,1043.5517775
2017-07-24,1242.6941166666668
2017-07-25,1255.4025933333335
2017-07-26,1263.2721745833335
2017-07-27,1271.1334358333334
2017-07-28,1255.4875858333332
2017-07-29,1141.84434125
2017-07-30,1037.55995125
2017-07-31,1258.88697375
2017-08-01,1295.82951125
2017-08-02,1295.1209366666667
2017-08-03,1300.78248375
2017-08-04,1275.1615295833333
2017-08-05,1157.72392875
2017-08-06,1051.2583320833335
