iter	Passed	Remaining
465	765	877
466	766	874
467	766	871
468	767	868
469	768	866
470	769	864
471	770	861
472	773	861
473	773	858
474	773	855
475	774	852
476	774	849
477	776	848
478	777	845
479	778	843
480	778	840
481	779	837
482	779	834
483	784	836
484	785	833
485	785	830
486	786	828
487	790	829
488	793	829
489	793	826
490	794	823
491	795	821
492	797	820
493	797	817
494	800	817
495	802	815
496	802	812
497	803	809
498	803	807
499	804	804
500	805	801
501	808	802
502	809	799
503	814	801
504	815	799
505	816	796
506	817	794
507	817	791
508	818	789
509	821	789
510	822	787
511	823	784
512	824	782
513	824	779
514	825	777
515	826	774
516	835	780
517	836	778
518	837	776
519	841	777
520	842	774
521	843	772
522	845	770
523	846	768
524	849	769
525	851	767
526	852	765
527	853	763
528	855	761
529	855	758
530	856	756
531	857	754
532	859	752
533	860	750
534	862	749
535	866	750
536	872	751
537	874	750
538	875	748
539	879	749
540	880	746
541	880	744
542	890	749
543	893	749
544	894	747
545	895	744
546	900	746
547	901	743
548	902	741
549	906	741
550	907	739
551	908	737
552	908	734
553	912	734
554	913	732
555	914	730
556	916	729
557	919	728
558	919	725
559	920	723
560	923	722
561	925	721
562	929	721
563	930	719
564	931	716
565	932	714
566	932	712
567	933	710
568	936	709
569	936	706
570	937	704
571	938	701
572	939	699
573	940	697
574	941	695
575	943	694
576	945	692
577	945	690
578	946	688
579	947	685
580	948	684
581	949	681
582	951	680
583	954	679
584	955	677
585	957	676
586	959	674
587	959	672
588	960	669
589	960	667
590	962	665
591	964	664
592	967	663
593	970	663
594	971	661
595	973	659
596	973	657
597	975	656
598	976	653
599	976	651
600	977	648
601	978	646
602	978	644
603	979	642
604	979	639
605	980	637
606	980	635
607	981	632
608	982	630
609	984	629
610	987	628
611	988	626
612	989	624
613	991	623
614	992	621
615	993	619
616	993	616
617	994	614
618	994	612
619	995	610
620	996	608
621	998	606
622	999	604
623	1000	602
624	1001	600
625	1001	598
626	1002	596
627	1003	594
628	1003	592
629	1004	589
630	1005	587
631	1009	587
632	1010	585
633	1011	583
634	1011	581
635	1012	579
636	1013	577
637	1015	576
638	1015	573
639	1017	572
640	101642	10641	101643	10642	102644	10643	102645	10644	102646	10645	1022	560
646	1024	558
647	1024	556
648	1025	554
649	102651	1013	540
652	1014	538
653	1014	536
654	1017	535
655	1018	533
656	1018	531
657	1020	530
658	1022	529
659	1023	527
660	1024	525
661	1025	523
662	1025	521
663	1026	519
664	1026	517
665	1027	515
666	1027	513
667	1028	511
668	1029	509
669	1029	507
670	1030	505
671	10670	104672	10671	104673	1031	499
674	1032	497
675	1033	495
676	1033	493
677	1034	491
678	1035	489
679	1036	487
680	1039	486
681	1040	484
682	1041	483
683	1043	481
684	1043	479
685	1044	478
686	1045	476
687	1046	474
688	1048	473
689	1049	471
690	1050	469
691	1051	467
692	1051	465
693	1052	464
694	1052	462
695	1053	460
696	1054	458
697	1055	456
698	1056	454
699	1057	453
700	1060	452
701	1060	450
702	1061	448
703	1062	446
704	1062	444
705	1064	443
706	1064	441
707	1065	439
708	1066	437
709	1067	436
710	1069	434
711	1069	432
712	1070	430
713	1071	429
714	1072	427
715	1073	425
716	1073	423
717	1074	422
718	1075	420
719	1076	418
720	1077	416
721	1080	416
722	1081	414
723	1081	412
724	1082	410
725	10724	110726	10725	110727	10726	110728	10727	110729	1087	402
730	1088	400
731	1089	398
732	1090	397
733	1091	395
734	1092	393
735	1092	391
736	1098	391
737	1099	390
738	1099	388
739	1100	386
740	1102	385
741	1102	383
742	1103	381
743	1103	379
744	1104	378
745	1105	376
746	1107	375
747	1110	373
748	1112	372
749	1112	370
750	1113	369
751	1114	367
752	1115	365
753	1119	365
754	1123	364
755	1124	362
756	1127	361
757	1128	360
758	1129	358
759	1130	356
760	1131	355
761	1134	354
762	1135	352
763	1136	351
764	1137	349
765	1138	347
766	1139	346
767	1139	344
768	1140	342
769	1141	340
770	1141	339
771	1142	337
772	1143	335
773	1145	334
774	1150	333
775	1152	332
776	1152	330
777	1154	329
778	1156	328
779	1158	326
780	1159	325
781	1160	323
782	1161	321
783	1162	320
784	1163	318
785	1164	316
786	11785	118787	11786	1185	320
787	1187	319
788	1187	317
789	1188	315
790	1189	314
791	1189	312
792	1190	310
793	1191	309
794	1192	307
795	1194	306
796	1195	304
797	1196	302
798	1197	301
799	1198	299
800	1200	298
801	1201	296
802	1202	294
803	1203	293
804	1204	291
805	1207	290
806	1208	288
807	1209	287
808	1210	285
809	1211	284
810	1212	282
811	1213	280
812	1214	279
813	1215	277
814	1215	275
815	1216	274
816	1217	272
817	1219	271
818	1221	269
819	1222	268
820	1223	266
821	1223	264
822	1224	263
823	1225	261
824	1226	260
825	1227	258
826	1227	256
827	1228	255
828	1229	253
829	1231	252
830	1233	250
831	1237	249
832	1238	248
833	1239	246
834	1240	245
835	1241	243
836	1242	241
837	1242	240
838	1243	238
839	1244	237
840	1246	235
841	1247	234
842	1248	232
843	1249	230
844	1250	229
845	1251	227
846	1251	226
847	1252	224
848	1252	222
849	1256	221
850	1256	220
851	1257	218
852	1258	216
853	1258	215
854	1259	213
855	1259	211
856	1260	210
857	1261	208
858	1262	207
859	1262	205
860	1263	203
861	1263	202
862	1264	200
863	1265	199
864	1265	197
865	1267	196
866	1267	194
867	1268	192
868	1269	191
869	1270	189
870	1272	188
871	1274	187
872	1274	185
873	1275	183
874	1276	182
875	1276	180
876	1277	179
877	1277	177
878	1278	176
879	1279	174
880	1279	172
881	1280	171
882	1280	169
883	1281	168
884	1282	166
885	1282	165
886	1282	163
887	1283	161
888	1284	160
889	1284	158
890	1285	157
891	1286	155
892	1288	154
893	1288	152
894	1289	151
895	1289	149
896	1289	148
897	1290	146
898	1291	145
899	1292	143
900	1293	142
901	1293	140
902	1294	139
903	1295	137
904	1295	136
905	1296	134
906	1296	132
907	1297	131
908	1297	129
909	1298	128
910	1299	126
911	1299	125
912	1300	123
913	1301	122
914	1301	120
915	1302	119
916	1302	117
917	1303	116
918	1303	114
919	1304	113
920	1304	111
921	1305	110
922	1305	108
923	1306	107
924	1306	105
925	1307	104
926	1308	103
927	1309	101
928	1310	100
929	1310	98
930	1311	97
931	1311	95
932	1312	94
933	1312	92
934	1313	91
935	1313	89
936	1314	88
937	1314	86
938	1315	85
939	1316	84
940	1316	82
941	1317	81
942	1317	79
943	1318	78
944	1318	76
945	1319	75
946	1319	73
947	1320	72
948	1321	71
949	1321	69
950	1322	68
951	1323	66
952	1323	65
953	1324	63
954	1324	62
955	1325	60
956	1326	59
957	1326	58
958	1327	56
959	1328	55
960	1328	53
961	1329	52
962	1330	51
963	1330	49
964	1331	48
965	1332	46
966	1332	45
967	1333	44
968	1333	42
969	1334	41
970	1334	39
971	1335	38
972	1335	37
973	1336	35
974	1337	34
975	1338	32
976	1338	31
977	1339	30
978	1339	28
979	1341	27
980	1341	25
981	1342	24
982	1342	23
983	1343	21
984	1343	20
985	1344	19
986	1344	17
987	1345	16
988	1345	14
989	1346	13
990	1346	12
991	1347	10
992	1348	9
993	1349	8
994	1349	6
995	1350	5
996	1351	4
997	1351	2
998	1352	1
999	1353	0
997	1392	2
998	1393	1
999	1394	0
1
980	1567	30
981	1567	28
982	1568	27
983	1568	25
984	1569	23
985	1569	22
986	1570	20
987	1571	19
988	1571	17
989	1572	15
990	1573	14
991	1573	12
992	1574	11
993	1575	9
994	1575	7
995	1576	6
996	1576	4
997	1577	3
998	1578	1
999	1579	0
5
992	1920	13
993	1921	11
994	1923	9
995	1924	7
996	1925	5
997	1926	3
998	1927	1
999	1928	0

998	2400	2
999	2401	0
